DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/01/2013,2:45,BROOKLYN,11211,40.7170331,-73.9564374,"(40.7170331, -73.9564374)",DRIGGS AVENUE                   ,NORTH 7 STREET                  ,,1,0,1,0,0,0,0,0,Unspecified,,,,,199014,UNKNOWN,,,,
01/01/2013,2:45,,,,,,AUSTIN STREET                   ,YELLOWSTONE BOULEVARD           ,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,265238,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,,,
01/01/2013,2:43,BROOKLYN,11211,40.7095517,-73.9588589,"(40.7095517, -73.9588589)",SOUTH 5 STREET                  ,HAVEMEYER STREET                ,,2,0,0,0,0,0,2,0,Fatigued/Drowsy,Unspecified,,,,195057,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/01/2013,2:42,QUEENS,11428,40.7143538,-73.7522372,"(40.7143538, -73.7522372)",208 STREET                      ,JAMAICA AVENUE                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,221918,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
01/01/2013,2:40,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2867779,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2013,2:40,QUEENS,11419,40.6921293,-73.8348331,"(40.6921293, -73.8348331)",ATLANTIC AVENUE                 ,111 STREET                      ,,0,0,0,0,0,0,0,0,Other Vehicular,Fatigued/Drowsy,,,,205105,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2013,2:40,BROOKLYN,11223,40.598312,-73.9611853,"(40.598312, -73.9611853)",CONEY ISLAND AVENUE             ,AVENUE U                        ,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,118006,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2013,2:35,BROOKLYN,11207,40.6790974,-73.8873048,"(40.6790974, -73.8873048)",FULTON STREET                   ,WARWICK STREET                  ,,3,0,0,0,0,0,3,0,Other Vehicular,Physical Disability,,,,165512,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2013,2:35,BROOKLYN,11211,40.7105878,-73.9550998,"(40.7105878, -73.9550998)",BORINQUEN PLACE                 ,RODNEY STREET                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,195058,PASSENGER VEHICLE,UNKNOWN,,,
01/01/2013,2:30,MANHATTAN,10012,40.7250834,-73.9953279,"(40.7250834, -73.9953279)",LAFAYETTE STREET                ,EAST HOUSTON STREET             ,,0,0,0,0,0,0,0,0,Prescription Medication,Prescription Medication,,,,14711,TAXI,TAXI,,,
01/01/2013,2:23,QUEENS,11104,40.7446864,-73.9164943,"(40.7446864, -73.9164943)",43 AVENUE                       ,48 STREET                       ,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,240701,PASSENGER VEHICLE,,,,
01/01/2013,2:17,STATEN ISLAND,10314,40.6080537,-74.1573526,"(40.6080537, -74.1573526)",VICTORY BOULEVARD               ,MORANI STREET                   ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,295919,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/01/2013,2:16,,,,,,BOSTON ROAD                     ,PELHAM PARKWAY SOUTH            ,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,,,,,104069,SPORT UTILITY / STATION WAGON,,,,
01/01/2013,2:10,QUEENS,11418,40.6952837,-73.8411361,"(40.6952837, -73.8411361)",JAMAICA AVENUE                  ,106 STREET                      ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,205112,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2013,2:10,QUEENS,11101,40.7540126,-73.9197202,"(40.7540126, -73.9197202)",43 STREET                       ,35 AVENUE                       ,,0,0,0,0,0,0,0,0,Prescription Medication,Unspecified,,,,240700,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/01/2013,2:10,BROOKLYN,11209,40.6128336,-74.0336475,"(40.6128336, -74.0336475)",100 STREET                      ,4 AVENUE                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,141955,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/01/2013,2:05,MANHATTAN,10065,40.7618573,-73.9634255,"(40.7618573, -73.9634255)",2 AVENUE                        ,EAST 61 STREET                  ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,47042,OTHER,VAN,,,
01/01/2013,2:03,,,40.6071523,-73.898359,"(40.6071523, -73.898359)",,,,0,0,0,0,0,0,0,0,Unspecified,,,,,2960136,PASSENGER VEHICLE,,,,
01/01/2013,2:02,MANHATTAN,10022,40.7548762,-73.9685222,"(40.7548762, -73.9685222)",EAST 50 STREET                  ,2 AVENUE                        ,,1,0,1,0,0,0,0,0,Unspecified,,,,,33760,TAXI,,,,
01/01/2013,2:00,MANHATTAN,10013,40.7168135,-73.9977634,"(40.7168135, -73.9977634)",CANAL STREET                    ,MOTT STREET                     ,,1,0,1,0,0,0,0,0,Turning Improperly,,,,,6551,TAXI,,,,
01/01/2013,2:00,BRONX,10461,40.8391702,-73.8362823,"(40.8391702, -73.8362823)",EAST TREMONT AVENUE             ,DUDLEY AVENUE                   ,,1,0,1,0,0,0,0,0,Unspecified,,,,,89557,AMBULANCE,,,,
01/01/2013,2:00,QUEENS,11412,40.7088222,-73.7518429,"(40.7088222, -73.7518429)",FRANCIS LEWIS BOULEVARD         ,109 AVENUE                      ,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,209952,UNKNOWN,PASSENGER VEHICLE,,,
01/01/2013,2:00,BRONX,10463,40.8870811,-73.9041347,"(40.8870811, -73.9041347)",WALDO AVENUE                    ,WEST 238 STREET                 ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,107648,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
01/01/2013,2:00,BRONX,10451,40.825116,-73.9254012,"(40.825116, -73.9254012)",EAST 157 STREET                 ,WALTON AVENUE                   ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,86198,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
01/01/2013,23:58,MANHATTAN,10002,40.7124628,-73.9924034,"(40.7124628, -73.9924034)",PIKE STREET                     ,MADISON STREET                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,12714,PASSENGER VEHICLE,UNKNOWN,,,
